birds, neural network result (jump), currentFitness
200,-7.857185,0
200,-3.120279,0.02
200,4.490545,0.04
200,0.137911,0.08944669
200,-15.48628,0.1315133
200,19.49614,0.14893
200,11.85273,0.1658756
200,-7.732383,0.192101
200,2.693077,0.2213269
200,18.89684,0.2331868
200,-15.96344,0.2497428
200,-10.396,0.2669235
200,-2.285593,0.2750365
200,5.184385,0.3004482
200,1.444883,0.3269494
200,1.242163,0.3459631
200,17.99325,0.3679714
200,-13.11611,0.3844951
200,23.37508,0.3958526
200,-9.324319,0.4184815
200,-7.844508,0.4450701
200,3.848943,0.4606299
200,3.890382,0.4771414
200,10.90593,0.5034804
200,7.608859,0.5193126
200,-17.01836,0.546194
200,-22.01286,0.5615339
200,-19.54348,0.5779861
200,11.67869,0.5951703
200,5.962823,0.6115042
200,27.1206,0.6290306
200,-4.92343,0.6569762
200,-15.34534,0.6704447
200,-4.524583,0.6875642
200,-10.12727,0.7040341
200,-7.546039,0.7207535
200,-10.17666,0.7378941
200,12.69656,0.8232477
199,-12.42663,0.8455452
195,10.98275,0.8706805
195,-12.033,0.8855401
194,-7.414158,0.9106174
193,-14.49251,0.9290638
192,-14.08612,0.9544679
19,7.628963,0.9897803
19,2.345688,1.024588
19,1.026796,1.054248
18,10.04249,1.079368
17,14.73037,1.099148
17,6.279748,1.120897
17,7.828993,1.140988
17,-4.046536,1.174654
17,9.978808,1.204919
17,23.32142,1.231506
17,10.03938,1.247093
17,10.22477,1.257778
17,2.873305,1.275172
17,13.50753,1.298265
17,6.603168,1.315646
17,0.902622,1.349547
17,0.831996,1.364621
17,14.17613,1.381554
16,6.175265,1.398288
15,-8.465532,1.415268
15,13.69278,1.432104
14,2.975995,1.467081
14,-17.11648,1.50038
14,-17.346,1.524428
14,11.62817,1.543462
14,3.04314,1.56882
14,-11.40368,1.591491
14,-5.058666,1.608132
14,11.86844,1.6253
13,8.06587,1.653796
13,20.47907,1.693503
13,7.361917,1.709152
13,-7.956195,1.734209
13,-14.28523,1.752384
13,-16.63988,1.776255
13,6.540601,1.804773
13,5.186924,1.834809
13,5.005718,1.851838
12,1.614775,1.868251
10,6.359492,1.885379
10,10.96063,1.912169
10,7.02982,1.936337
10,-9.155504,1.970653
9,-9.287206,1.99438
9,-6.493767,2.020858
9,24.15415,2.036463
9,-8.815567,2.061638
9,-25.25692,2.087168
9,-18.42285,2.114621
9,10.67596,2.155227
9,6.598707,2.170791
9,-15.00942,2.187784
9,-12.57293,2.205112
9,16.3652,2.222008
9,14.56791,2.248889
9,-9.460299,2.266319
9,-16.47535,2.289004
9,5.821507,2.305934
9,17.17732,2.322515
9,-20.15934,2.339649
9,9.59655,2.365968
9,-6.235221,2.381625
9,16.61953,2.398359
9,-13.64671,2.41511
9,-5.476011,2.441529
9,11.36648,2.466962
9,-12.807,2.482472
9,6.704452,2.499026
9,18.72137,2.516206
9,6.339608,2.532552
9,-16.09339,2.543545
9,23.37066,2.576151
9,20.73256,2.600916
9,0.528885,2.616625
9,-4.045138,2.633136
9,-3.359563,2.650201
9,-11.65714,2.676777
9,18.3281,2.692236
9,5.255806,2.708997
9,-13.16191,2.725842
9,-5.925914,2.742488
9,-1.330228,2.76193
9,-11.36358,2.794371
9,9.093374,2.809798
9,1.943091,2.826545
9,7.922125,2.843779
9,19.95548,2.860232
9,11.21347,2.877177
9,-13.81175,2.903607
9,10.15759,2.931594
9,18.02963,2.950075
9,2.692711,2.961342
9,-9.068187,2.978142
9,-24.71995,3.004441
9,8.907534,3.01964
9,-16.5093,3.036417
9,8.839529,3.046369
9,-21.30696,3.070128
9,8.643873,3.096963
9,15.41706,3.122018
9,-3.190773,3.137712
9,19.29425,3.154301
9,14.70475,3.171045
9,-8.025354,3.187963
9,8.372889,3.205062
9,8.158852,3.2316
9,-14.65246,3.25677
9,1.554813,3.272608
9,-4.090265,3.289447
9,8.469542,3.306188
9,11.31419,3.332834
9,-4.38121,3.348025
9,12.53948,3.364731
9,-20.52768,3.381309
9,-3.464033,3.398466
9,18.6957,3.424776
9,25.06843,3.449924
9,11.27178,3.465926
9,2.624964,3.482507
9,-1.290494,3.499065
9,-6.005244,3.51581
9,-7.702791,3.526874
9,-7.0316,3.55944
9,-15.11292,3.593315
8,15.57214,3.616618
8,-20.80962,3.633555
8,12.27574,3.659951
8,11.21534,3.684041
8,-4.54706,3.709533
8,15.38365,3.743954
8,6.888956,3.777382
8,4.677796,3.785859
8,1.882968,3.802671
8,4.667025,3.826366
8,15.41378,3.843294
8,14.33401,3.860384
8,-13.45279,3.886595
8,-9.89603,3.901957
8,22.56572,3.918697
8,4.345714,3.948235
8,7.040305,3.963202
8,0.065589,3.971016
8,-10.54286,3.973295
8,-10.38007,3.97714
8,20.53656,3.97911
8,-3.046716,3.981045
8,-21.47251,4.006196
8,5.770416,4.01152
8,0.884423,4.015516
8,-0.579028,4.019637
8,12.22661,4.021573
8,-17.44031,4.024105
8,4.467636,4.028292
8,-12.32951,4.031787
8,2.703335,4.03618
7,-3.981223,4.038877
7,-7.86919,4.042837
7,-3.041161,4.047035
7,7.893268,4.051139
7,0.196534,4.056442
7,-15.32305,4.058857
7,20.40734,4.061641
7,14.15506,4.065969
7,-7.579827,4.070795
7,0.369961,4.076342
7,20.27221,4.079997
7,-15.85877,4.082763
7,-10.51611,4.086293
7,-2.291873,4.089548
7,4.359327,4.094054
7,-1.924684,4.097002
7,-1.7987,4.103454
7,14.99125,4.10684
7,-13.13919,4.110572
7,22.26941,4.11317
7,-9.190739,4.116032
7,-7.665606,4.119771
7,1.456572,4.121744
7,3.414559,4.123949
7,13.66949,4.127961
7,8.949342,4.130157
7,-17.14449,4.132198
7,-22.04768,4.138026
7,-19.34346,4.140987
7,10.10932,4.143981
7,4.169109,4.146871
7,28.74973,4.150227
7,-4.845811,4.153342
7,-15.18124,4.156267
7,-4.700253,4.160828
7,-10.31899,4.164647
7,-7.614186,4.173605
7,-10.33403,4.178232
7,11.98038,4.184547
7,-12.5344,4.188713
7,8.977014,4.191608
7,-12.17432,4.194619
7,-7.310646,4.197832
7,-14.68353,4.20278
7,-14.03875,4.205781
7,11.32239,4.208497
7,2.402239,4.211103
7,1.805396,4.213892
7,8.397046,4.219312
7,11.65165,4.222305
7,8.130888,4.225362
7,11.41598,4.227793
7,-4.039007,4.230017
7,12.10419,4.232371
7,23.18353,4.237583
7,12.12007,4.240817
7,6.435403,4.243725
7,1.353273,4.246438
7,13.95883,4.249454
7,3.691997,4.253697
7,2.580855,4.256104
7,2.362976,4.259893
7,13.74763,4.262519
7,4.615963,4.265104
7,-8.638803,4.269728
7,17.1387,4.272884
7,0.807499,4.276205
7,-16.98184,4.279377
7,-17.35081,4.282556
7,14.48886,4.288036
7,0.6168,4.29412
6,-11.30584,4.297331
6,-5.064045,4.302687
6,12.67879,4.305686
6,4.536358,4.310162
6,24.228,4.313671
6,9.779581,4.316435
6,-8.037273,4.32382
6,-14.35321,4.32804
6,-16.73581,4.330478
6,5.14062,4.335643
6,3.106281,4.338126
6,3.517148,4.340488
6,-2.04382,4.345189
6,9.191215,4.347389
6,12.68126,4.35136
6,8.412965,4.35368
6,-9.298128,4.356124
6,-9.459514,4.360802
6,-6.506214,4.365315
6,23.17972,4.36945
6,-8.725376,4.372798
6,-25.20195,4.375767
6,-18.32414,4.379403
6,8.592749,4.382357
6,7.38354,4.385736
6,-14.94814,4.388608
6,-12.59046,4.391178
6,13.44889,4.393544
6,15.38793,4.395998
6,-9.5419,4.400884
6,-16.5317,4.40327
6,9.579499,4.406121
6,15.70033,4.408406
6,-20.04782,4.410739
6,10.74691,4.413099
6,-6.326978,4.41537
6,16.53937,4.419488
6,-13.46916,4.422132
6,-5.534013,4.424476
6,12.94313,4.427678
6,-12.6392,4.430171
6,9.535054,4.43248
6,22.48595,4.43535
6,4.336598,4.43752
6,-15.92289,4.440348
6,26.7878,4.443247
6,20.08609,4.445439
6,-2.34531,4.447509
6,-3.85784,4.449519
6,-3.268597,4.4523
6,-11.66854,4.454525
6,17.17953,4.457838
6,2.353943,4.460271
6,-13.03335,4.463237
6,-5.795602,4.46618
