birds, neural network result (jump), currentFitness
200,-6.895826,0
200,-15.91034,0.02
200,1.181553,0.04
200,10.59469,0.048325
200,5.543825,0.05665
200,-6.907365,0.1066654
200,12.42985,0.1149904
200,-24.78338,0.123332
200,5.130224,0.131657
200,-0.17924,0.1399972
200,17.42183,0.1483222
200,14.06512,0.1566625
200,-6.407632,0.1649875
200,-6.393214,0.173333
200,0.97288,0.181658
200,7.481451,0.1899943
200,1.596125,0.198332
200,-16.64659,0.2066661
200,-0.222054,0.2149911
200,15.18438,0.2233284
200,7.18236,0.2316534
200,-10.89649,0.2399938
200,-12.21709,0.2483273
200,-4.065153,0.2566683
200,16.67624,0.2650043
200,-11.32088,0.2733293
200,-5.372813,0.2816543
200,16.59669,0.289995
200,12.97302,0.29832
200,-15.90954,0.3066661
200,-2.730965,0.3149911
200,9.09454,0.3233275
200,8.387107,0.3316609
200,-12.73067,0.3399964
200,3.858988,0.3483214
200,-10.65504,0.3566597
200,14.62333,0.3649935
200,1.51758,0.3733185
200,-12.14219,0.3816541
200,-4.957455,0.3899931
200,-4.246766,0.3983181
200,4.553785,0.4066623
200,-22.28102,0.4149873
200,-1.503141,0.4233231
200,-10.08244,0.4316578
200,17.93213,0.4399828
200,19.71264,0.4483259
200,-4.123094,0.4566614
200,1.940311,0.4649864
200,-4.638687,0.473344
200,6.660856,0.481669
200,11.21811,0.4900036
199,-6.791491,0.4983287
199,-4.081984,0.5066653
195,3.242816,0.5149903
195,19.42431,0.5233305
195,-3.866051,0.5316743
116,-7.271368,0.5399993
116,-7.142727,0.5483243
113,-12.40909,0.5566651
113,9.314388,0.56499
113,-3.434324,0.5733265
113,4.870233,0.5816514
113,4.698239,0.5899966
113,-10.4479,0.5983216
113,10.4782,0.6066627
112,0.839352,0.6149877
112,-1.596143,0.6233248
112,-16.31136,0.6316497
112,-19.70643,0.6399952
112,0.719112,0.6483307
112,8.565195,0.6566557
112,-10.216,0.6649806
112,-0.855558,0.6733193
112,10.84614,0.6816562
112,-5.65024,0.689993
111,9.249254,0.6983179
111,-12.05042,0.7066609
111,18.37786,0.7149858
111,-13.50598,0.7233202
111,2.709906,0.7316542
111,20.89181,0.7399898
111,3.48481,0.7483148
111,7.594401,0.7566564
111,-4.148773,0.7649814
111,-0.413229,0.7733218
111,7.265382,0.7816468
111,7.759959,0.7899897
111,-5.468313,0.7983147
111,-19.723,0.8066545
111,-2.980666,0.8149795
111,-9.276374,0.8233229
111,-14.61237,0.8316479
111,12.80491,0.8399888
111,-19.29727,0.8483137
111,-5.095366,0.8566545
111,-3.253082,0.8649893
111,-11.29694,0.8733143
111,-10.7466,0.8816487
111,0.536226,0.8899869
111,13.66451,0.8983289
111,-10.72622,0.9066539
111,-1.92664,0.9149789
111,-12.56554,0.9233152
111,-2.95834,0.9316515
110,14.06489,0.9399851
110,27.24767,0.9483205
110,-9.366609,0.9566455
110,8.571812,0.9649815
110,-12.87671,0.9733217
110,2.162278,0.9816467
110,-10.48605,0.9899837
21,26.11899,0.9983087
21,-21.44708,1.00666
21,-16.22483,1.014985
21,8.006146,1.02331
21,16.66691,1.031651
21,1.636679,1.039976
21,20.40435,1.048319
20,-3.309704,1.056643
20,11.20979,1.064984
20,6.875135,1.073318
20,8.739066,1.081643
20,13.42612,1.089985
20,19.28952,1.098346
20,1.350104,1.106671
19,-9.528536,1.114996
19,21.014,1.123321
19,-15.27716,1.131646
19,-3.290617,1.139983
19,18.55553,1.148308
19,-2.76863,1.156651
19,-14.16933,1.164976
19,3.94147,1.173312
19,22.97465,1.181651
19,-3.543286,1.189976
19,-11.06103,1.19834
19,-7.351219,1.206665
19,-17.9012,1.21499
19,-16.18489,1.223341
19,-7.600315,1.231666
19,0.318928,1.239991
19,5.509588,1.248316
19,-7.326286,1.256641
19,-19.52483,1.264983
19,-17.21968,1.273308
19,10.85434,1.281651
19,-19.45346,1.289976
19,21.62418,1.298334
19,-11.53675,1.306659
19,13.58483,1.314984
19,-12.16771,1.323309
19,16.26652,1.331652
18,-10.8839,1.339977
18,3.587964,1.348302
18,-18.88926,1.356641
18,-3.797979,1.364978
18,-12.06551,1.373303
18,-2.161582,1.381639
18,16.82608,1.389977
18,14.99783,1.398302
18,15.31353,1.406647
18,5.671647,1.414984
18,10.65742,1.42333
18,-7.55251,1.431655
18,23.21925,1.43998
18,22.91466,1.448305
18,27.80482,1.456646
18,2.600685,1.464971
18,-12.7041,1.473314
18,16.46164,1.481639
18,17.63337,1.489975
18,14.11902,1.498314
18,24.16292,1.506639
18,4.980628,1.514975
18,0.572178,1.523314
18,29.61686,1.531639
18,-2.966599,1.539976
18,14.1195,1.548301
18,2.90833,1.556634
